dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,25,76,0.950000,0.850000
BeetleFly,25,128,0.850000,0.800000
BeetleFly,25,179,0.900000,0.850000
BeetleFly,40,76,1.000000,0.950000
BeetleFly,40,128,0.950000,0.850000
BeetleFly,40,179,0.900000,0.850000
BeetleFly,55,76,1.000000,0.950000
BeetleFly,55,128,1.000000,1.000000
Coffee,25,42,0.785714,0.857143
Coffee,25,71,0.964286,1.000000
Coffee,25,100,0.607143,0.821429
Coffee,40,42,0.928571,0.964286
Coffee,40,71,0.928571,1.000000
Coffee,40,100,0.785714,0.892857
Coffee,55,42,0.857143,0.928571
Coffee,55,71,0.964286,1.000000
Coffee,55,100,0.857143,0.857143
DistalPhalanxOutlineCorrect,25,12,0.823333,0.775362
DistalPhalanxOutlineCorrect,25,20,0.843333,0.800725
DistalPhalanxOutlineCorrect,25,28,0.706667,0.688406
DistalPhalanxOutlineCorrect,40,12,0.835000,0.789855
DistalPhalanxOutlineCorrect,40,20,0.836667,0.793478
DistalPhalanxOutlineCorrect,40,28,0.673333,0.692029
DistalPhalanxOutlineCorrect,55,12,0.825000,0.778986
DistalPhalanxOutlineCorrect,55,20,0.848333,0.800725
DistalPhalanxOutlineCorrect,55,28,0.706667,0.702899
Earthquakes,25,76,0.773292,0.748201
Earthquakes,25,128,0.801242,0.748201
Earthquakes,25,179,0.798137,0.748201
Earthquakes,40,76,0.736025,0.748201
Earthquakes,40,128,0.763975,0.748201
Earthquakes,40,179,0.729814,0.748201
Earthquakes,55,76,0.810559,0.748201
Earthquakes,55,128,0.776398,0.748201
Earthquakes,55,179,0.819876,0.748201
ECG200,25,14,0.580000,0.640000
ECG200,25,24,0.580000,0.640000
ECG200,25,33,0.610000,0.640000
ECG200,40,14,0.610000,0.640000
ECG200,40,24,0.570000,0.640000
ECG200,40,33,0.550000,0.640000
ECG200,55,14,0.590000,0.640000
ECG200,55,24,0.600000,0.640000
ECG200,55,33,0.550000,0.640000
ECGFiveDays,25,20,1.000000,0.919861
ECGFiveDays,25,34,0.913043,0.779326
ECGFiveDays,25,47,1.000000,0.889663
ECGFiveDays,40,20,1.000000,0.943089
ECGFiveDays,40,34,0.869565,0.779326
ECGFiveDays,40,47,0.956522,0.918699
ECGFiveDays,55,20,0.956522,0.922184
ECGFiveDays,55,34,0.956522,0.857143
FordA,25,125,0.511525,0.515909
FordA,25,175,0.512635,0.515909
FordA,40,75,0.508748,0.515909
FordA,40,125,0.428492,0.525758
FordA,40,175,0.439045,0.515909
FordA,55,75,0.508192,0.515909
FordA,55,125,0.516245,0.515909
FordA,55,175,0.442377,0.515909
Ham,25,64,0.678899,0.695238
Ham,25,107,0.715596,0.752381
Ham,25,150,0.743119,0.695238
Ham,40,64,0.678899,0.742857
Ham,40,107,0.715596,0.790476
Ham,40,150,0.669725,0.733333
Ham,55,64,0.733945,0.780952
Ham,55,107,0.743119,0.771429
Ham,55,150,0.761468,0.733333
ShapeletSim,25,75,0.800000,0.672222
ShapeletSim,25,125,0.800000,0.605556
ShapeletSim,25,175,0.750000,0.583333
ShapeletSim,40,75,0.850000,0.672222
ShapeletSim,40,125,0.750000,0.616667
ShapeletSim,40,175,0.900000,0.611111
ShapeletSim,55,75,0.900000,0.705556
ShapeletSim,55,125,0.950000,0.666667
SonyAIBORobotSurface1,25,10,0.950000,0.923461
SonyAIBORobotSurface1,25,17,0.950000,0.905158
SonyAIBORobotSurface1,25,24,0.950000,0.913478
SonyAIBORobotSurface1,40,10,1.000000,0.951747
SonyAIBORobotSurface1,40,17,0.950000,0.918469
SonyAIBORobotSurface1,40,24,0.950000,0.928453
SonyAIBORobotSurface1,55,10,0.900000,0.930116
SonyAIBORobotSurface1,55,17,0.900000,0.928453
SonyAIBORobotSurface2,25,9,0.925926,0.830010
SonyAIBORobotSurface2,25,16,0.962963,0.844701
SonyAIBORobotSurface2,25,22,0.888889,0.775446
SonyAIBORobotSurface2,40,9,0.962963,0.843652
