dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,50,128,0.950000,0.900000
Coffee,50,71,0.964286,1.000000
DistalPhalanxOutlineCorrect,50,20,0.970000,0.768116
Earthquakes,50,128,0.990683,0.784173
ECG200,50,24,0.950000,0.870000
ECGFiveDays,50,34,0.913043,0.852497
FordA,50,125,0.952235,0.899242
Ham,50,107,0.990826,0.714286
ShapeletSim,50,125,0.750000,0.655556
SonyAIBORobotSurface1,50,17,0.950000,0.748752
SonyAIBORobotSurface2,50,16,0.962963,0.919203
Strawberry,50,58,0.977162,0.954054
ToeSegmentation1,50,69,1.000000,0.925439
TwoLeadECG,50,20,0.913043,0.939421
Wafer,50,38,1.000000,0.988806
WormsTwoClass,50,225,0.972376,0.779221
Yoga,50,106,0.986667,0.856667
