dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,40,76,0.850000,1.000000
BeetleFly,40,102,0.850000,0.900000
BeetleFly,40,128,0.800000,0.800000
BeetleFly,40,153,0.700000,0.900000
BeetleFly,50,76,0.900000,0.850000
BeetleFly,50,102,0.850000,0.900000
BeetleFly,50,128,0.800000,0.900000
BeetleFly,50,153,0.850000,0.950000
BeetleFly,60,76,0.800000,0.950000
BeetleFly,60,102,0.900000,0.950000
BeetleFly,60,128,0.900000,0.800000
BeetleFly,60,153,0.850000,0.950000
Coffee,40,42,0.928571,1.000000
Coffee,40,57,0.892857,1.000000
Coffee,40,71,0.928571,1.000000
Coffee,40,85,0.928571,1.000000
Coffee,50,42,0.964286,1.000000
Coffee,50,57,0.928571,1.000000
Coffee,50,71,1.000000,1.000000
Coffee,50,85,0.928571,1.000000
Coffee,60,42,0.857143,1.000000
Coffee,60,57,0.964286,1.000000
Coffee,60,71,0.964286,1.000000
Coffee,60,85,0.892857,1.000000
DistalPhalanxOutlineCorrect,40,12,0.976667,0.786232
DistalPhalanxOutlineCorrect,40,16,0.851667,0.786232
DistalPhalanxOutlineCorrect,40,20,0.733333,0.757246
DistalPhalanxOutlineCorrect,40,24,0.958333,0.786232
DistalPhalanxOutlineCorrect,50,12,0.943333,0.771739
DistalPhalanxOutlineCorrect,50,16,0.956667,0.789855
DistalPhalanxOutlineCorrect,50,20,0.946667,0.786232
DistalPhalanxOutlineCorrect,50,24,0.938333,0.764493
DistalPhalanxOutlineCorrect,60,12,0.755000,0.760870
DistalPhalanxOutlineCorrect,60,16,0.840000,0.768116
DistalPhalanxOutlineCorrect,60,20,0.965000,0.771739
DistalPhalanxOutlineCorrect,60,24,0.918333,0.778986
Earthquakes,40,76,0.860248,0.741007
Earthquakes,40,102,0.804348,0.748201
Earthquakes,40,128,0.742236,0.755396
Earthquakes,40,153,0.795031,0.748201
Earthquakes,50,76,0.717391,0.748201
Earthquakes,50,102,0.934783,0.741007
Earthquakes,50,128,0.816770,0.748201
Earthquakes,50,153,0.860248,0.769784
Earthquakes,60,76,0.795031,0.748201
Earthquakes,60,102,0.841615,0.748201
Earthquakes,60,128,0.978261,0.784173
Earthquakes,60,153,0.826087,0.748201
ECG200,40,14,0.970000,0.920000
ECG200,40,19,0.920000,0.880000
ECG200,40,24,0.970000,0.890000
ECG200,40,28,0.960000,0.880000
ECG200,50,14,0.890000,0.880000
ECG200,50,19,0.990000,0.930000
ECG200,50,24,0.990000,0.920000
ECG200,50,28,0.910000,0.920000
ECG200,60,14,0.940000,0.890000
ECG200,60,19,0.940000,0.890000
ECG200,60,24,0.940000,0.850000
ECG200,60,28,0.930000,0.870000
ECGFiveDays,40,20,0.869565,0.872242
ECGFiveDays,40,27,0.913043,0.888502
ECGFiveDays,40,34,0.913043,0.723577
ECGFiveDays,40,40,0.869565,0.810685
ECGFiveDays,50,20,0.913043,0.849013
ECGFiveDays,50,27,0.869565,0.835075
ECGFiveDays,50,34,0.913043,0.731707
ECGFiveDays,50,40,0.782609,0.792102
ECGFiveDays,60,20,0.869565,0.807201
ECGFiveDays,60,27,0.826087,0.786295
ECGFiveDays,60,34,0.869565,0.684088
ECGFiveDays,60,40,0.869565,0.720093
dataset,shapelet_num,shapelet_len,train_acc,test_acc
dataset,shapelet_num,shapelet_len,train_acc,test_acc
Ham,40,64,0.944954,0.714286
Ham,40,86,0.972477,0.723810
Ham,40,107,0.972477,0.714286
Ham,40,129,0.963303,0.666667
