dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,10,25,0.900000,0.750000
BeetleFly,10,51,0.950000,0.750000
BeetleFly,10,102,0.900000,0.550000
BeetleFly,10,153,0.950000,0.750000
BeetleFly,20,25,1.000000,0.900000
BeetleFly,20,51,1.000000,0.800000
BeetleFly,20,102,1.000000,0.700000
BeetleFly,20,153,0.950000,0.600000
BeetleFly,30,25,0.950000,0.850000
BeetleFly,30,51,0.950000,0.800000
BeetleFly,30,102,0.950000,0.950000
BeetleFly,30,153,1.000000,0.950000
Coffee,10,14,1.000000,0.964286
Coffee,10,28,1.000000,0.964286
Coffee,10,57,1.000000,0.928571
Coffee,10,85,0.964286,0.892857
Coffee,20,14,1.000000,0.928571
Coffee,20,28,1.000000,1.000000
Coffee,20,57,0.964286,0.928571
Coffee,20,85,1.000000,0.964286
Coffee,30,14,1.000000,0.928571
Coffee,30,28,1.000000,0.964286
Coffee,30,57,0.928571,0.892857
Coffee,30,85,0.964286,0.892857
DistalPhalanxOutlineCorrect,10,4,0.826667,0.699275
DistalPhalanxOutlineCorrect,10,8,0.835000,0.739130
DistalPhalanxOutlineCorrect,10,16,0.861667,0.746377
DistalPhalanxOutlineCorrect,10,24,0.828333,0.742754
DistalPhalanxOutlineCorrect,20,4,0.865000,0.739130
DistalPhalanxOutlineCorrect,20,8,0.848333,0.739130
DistalPhalanxOutlineCorrect,20,16,0.868333,0.771739
DistalPhalanxOutlineCorrect,20,24,0.833333,0.739130
DistalPhalanxOutlineCorrect,30,4,0.863333,0.739130
DistalPhalanxOutlineCorrect,30,8,0.855000,0.746377
DistalPhalanxOutlineCorrect,30,16,0.868333,0.778986
DistalPhalanxOutlineCorrect,30,24,0.855000,0.764493
Earthquakes,10,25,0.819876,0.748201
Earthquakes,10,51,0.819876,0.748201
Earthquakes,10,102,0.822981,0.748201
Earthquakes,10,153,0.822981,0.748201
Earthquakes,20,25,0.819876,0.748201
Earthquakes,20,51,0.819876,0.748201
Earthquakes,20,102,0.822981,0.748201
Earthquakes,20,153,0.822981,0.748201
Earthquakes,30,25,0.819876,0.748201
Earthquakes,30,51,0.819876,0.748201
Earthquakes,30,102,0.822981,0.748201
Earthquakes,30,153,0.822981,0.748201
ECG200,10,4,0.750000,0.710000
ECG200,10,9,0.850000,0.800000
ECG200,10,19,0.820000,0.780000
ECG200,10,28,0.850000,0.780000
ECG200,20,4,0.770000,0.740000
ECG200,20,9,0.810000,0.730000
ECG200,20,19,0.860000,0.790000
ECG200,20,28,0.810000,0.830000
ECG200,30,4,0.840000,0.770000
ECG200,30,9,0.860000,0.750000
ECG200,30,19,0.870000,0.820000
ECG200,30,28,0.870000,0.830000
ECGFiveDays,10,6,0.739130,0.602787
ECGFiveDays,10,13,0.869565,0.725900
ECGFiveDays,10,27,0.739130,0.629501
ECGFiveDays,10,40,1.000000,0.952381
ECGFiveDays,20,6,0.956522,0.735192
ECGFiveDays,20,13,0.869565,0.702671
ECGFiveDays,20,27,0.913043,0.911731
ECGFiveDays,20,40,0.956522,0.941928
ECGFiveDays,30,6,0.913043,0.727062
ECGFiveDays,30,13,0.869565,0.700348
ECGFiveDays,30,27,0.913043,0.777003
ECGFiveDays,30,40,0.913043,0.962834
FordA,10,25,0.662871,0.580303
FordA,10,50,0.664538,0.600000
FordA,10,100,0.641488,0.606061
FordA,10,150,0.668981,0.634848
FordA,20,25,0.752846,0.700758
FordA,20,50,0.732019,0.677273
FordA,20,100,0.734796,0.674242
FordA,20,150,0.701750,0.686364
FordA,30,25,0.801166,0.746970
FordA,30,50,0.813663,0.741667
FordA,30,100,0.786448,0.755303
FordA,30,150,0.756457,0.735606
GunPoint,10,7,0.840000,0.720000
GunPoint,10,15,0.900000,0.786667
GunPoint,10,30,0.840000,0.700000
GunPoint,10,45,0.860000,0.713333
GunPoint,20,7,0.840000,0.726667
GunPoint,20,15,0.840000,0.713333
GunPoint,20,30,0.840000,0.686667
GunPoint,20,45,0.860000,0.706667
GunPoint,30,7,0.840000,0.713333
GunPoint,30,15,0.840000,0.713333
GunPoint,30,30,0.840000,0.686667
GunPoint,30,45,0.840000,0.713333
Ham,10,21,0.770642,0.514286
Ham,10,43,0.743119,0.571429
Ham,10,86,0.706422,0.657143
Ham,10,129,0.743119,0.704762
Ham,20,21,0.788991,0.552381
Ham,20,43,0.889908,0.657143
Ham,20,86,0.871560,0.657143
Ham,20,129,0.816514,0.609524
Ham,30,21,0.743119,0.600000
Ham,30,43,0.853211,0.628571
Ham,30,86,0.889908,0.714286
Ham,30,129,0.825688,0.638095
HandOutlines,10,135,0.749000,0.672973
HandOutlines,10,270,0.782000,0.718919
ShapeletSim,10,25,1.000000,1.000000
ShapeletSim,10,50,1.000000,0.994444
ShapeletSim,10,100,1.000000,0.894444
ShapeletSim,10,150,0.650000,0.500000
ShapeletSim,20,25,1.000000,1.000000
ShapeletSim,20,50,1.000000,0.994444
ShapeletSim,20,100,0.950000,0.794444
ShapeletSim,20,150,0.750000,0.500000
ShapeletSim,30,25,1.000000,1.000000
ShapeletSim,30,50,1.000000,0.994444
ShapeletSim,30,100,0.950000,0.600000
ShapeletSim,30,150,0.850000,0.500000
SonyAIBORobotSurface1,10,3,0.850000,0.479201
SonyAIBORobotSurface1,10,7,0.700000,0.429285
SonyAIBORobotSurface1,10,14,0.900000,0.622296
SonyAIBORobotSurface1,10,21,0.700000,0.429285
SonyAIBORobotSurface1,20,3,0.950000,0.574043
SonyAIBORobotSurface1,20,7,0.950000,0.617304
SonyAIBORobotSurface1,20,14,0.900000,0.921797
SonyAIBORobotSurface1,20,21,0.900000,0.885191
SonyAIBORobotSurface1,30,3,0.900000,0.638935
SonyAIBORobotSurface1,30,7,0.950000,0.738769
SonyAIBORobotSurface1,30,14,1.000000,0.858569
SonyAIBORobotSurface1,30,21,0.900000,0.866889
SonyAIBORobotSurface2,10,3,0.925926,0.577125
SonyAIBORobotSurface2,10,6,0.851852,0.761805
SonyAIBORobotSurface2,10,13,0.888889,0.864638
SonyAIBORobotSurface2,10,19,0.925926,0.710388
SonyAIBORobotSurface2,20,3,1.000000,0.774397
SonyAIBORobotSurface2,20,6,0.962963,0.846800
SonyAIBORobotSurface2,20,13,0.925926,0.843652
SonyAIBORobotSurface2,20,19,0.925926,0.842602
SonyAIBORobotSurface2,30,3,0.962963,0.781742
SonyAIBORobotSurface2,30,6,0.925926,0.917104
SonyAIBORobotSurface2,30,13,0.962963,0.875131
SonyAIBORobotSurface2,30,19,0.962963,0.836306
Strawberry,10,11,0.934747,0.902703
Strawberry,10,23,0.882545,0.889189
Strawberry,10,47,0.854812,0.816216
Strawberry,10,70,0.897227,0.872973
Strawberry,20,11,0.939641,0.932432
Strawberry,20,23,0.931485,0.900000
Strawberry,20,47,0.898858,0.832432
Strawberry,20,70,0.871126,0.818919
Strawberry,30,11,0.923328,0.886486
Strawberry,30,23,0.887439,0.851351
Strawberry,30,47,0.907015,0.851351
Strawberry,30,70,0.861338,0.816216
ToeSegmentation1,10,13,0.850000,0.701754
ToeSegmentation1,10,27,0.975000,0.850877
ToeSegmentation1,10,55,0.925000,0.912281
ToeSegmentation1,10,83,0.925000,0.921053
ToeSegmentation1,20,13,1.000000,0.868421
ToeSegmentation1,20,27,0.975000,0.903509
ToeSegmentation1,20,55,0.925000,0.864035
ToeSegmentation1,20,83,0.950000,0.916667
ToeSegmentation1,30,13,0.975000,0.855263
ToeSegmentation1,30,27,0.975000,0.907895
ToeSegmentation1,30,55,0.950000,0.921053
ToeSegmentation1,30,83,0.975000,0.903509
TwoLeadECG,10,4,0.826087,0.638279
TwoLeadECG,10,8,0.956522,0.863916
TwoLeadECG,10,16,1.000000,0.875329
TwoLeadECG,10,24,0.913043,0.942054
TwoLeadECG,20,4,0.913043,0.825285
TwoLeadECG,20,8,1.000000,0.885865
TwoLeadECG,20,16,0.956522,0.746269
TwoLeadECG,20,24,1.000000,0.961370
TwoLeadECG,30,4,0.956522,0.856892
TwoLeadECG,30,8,1.000000,0.927129
TwoLeadECG,30,16,1.000000,0.884109
TwoLeadECG,30,24,1.000000,0.930641
Wafer,10,7,0.903000,0.892116
Wafer,10,15,0.948000,0.934945
Wafer,10,30,0.971000,0.961226
Wafer,10,45,0.987000,0.982317
Wafer,20,7,0.903000,0.892278
Wafer,20,15,0.941000,0.923751
Wafer,20,30,0.978000,0.972583
Wafer,20,45,0.993000,0.987508
Wafer,30,7,0.912000,0.902823
Wafer,30,15,0.948000,0.938189
Wafer,30,30,0.971000,0.964309
Wafer,30,45,0.992000,0.989130
WormsTwoClass,10,45,0.762431,0.662338
WormsTwoClass,10,90,0.762431,0.727273
WormsTwoClass,10,180,0.790055,0.623377
WormsTwoClass,10,270,0.779006,0.558442
WormsTwoClass,20,45,0.773481,0.701299
WormsTwoClass,20,90,0.795580,0.792208
WormsTwoClass,20,180,0.867403,0.740260
WormsTwoClass,20,270,0.850829,0.766234
WormsTwoClass,30,45,0.823204,0.740260
WormsTwoClass,30,90,0.795580,0.818182
WormsTwoClass,30,180,0.856354,0.805195
WormsTwoClass,30,270,0.889503,0.740260
Yoga,10,21,0.720000,0.645667
Yoga,10,42,0.803333,0.709667
Yoga,10,85,0.796667,0.718333
Yoga,10,127,0.683333,0.635667
Yoga,20,21,0.793333,0.682667
Yoga,20,42,0.813333,0.702667
Yoga,20,85,0.806667,0.739333
Yoga,20,127,0.746667,0.685000
Yoga,30,21,0.830000,0.728667
Yoga,30,42,0.850000,0.752333
Yoga,30,85,0.806667,0.733333
Yoga,30,127,0.773333,0.713000
Computers,10,36,0.712000,0.652000
