dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,20,76,0.950000,0.700000
BeetleFly,20,102,1.000000,0.650000
BeetleFly,20,128,0.950000,0.450000
BeetleFly,20,153,0.950000,0.550000
BeetleFly,25,76,0.950000,0.500000
BeetleFly,25,102,1.000000,0.700000
BeetleFly,25,128,0.950000,0.400000
BeetleFly,25,153,0.950000,0.550000
BeetleFly,30,76,1.000000,0.700000
BeetleFly,30,102,0.950000,0.700000
BeetleFly,30,128,1.000000,0.800000
BeetleFly,30,153,1.000000,0.650000
Coffee,20,42,0.857143,0.821429
Coffee,20,57,0.785714,0.714286
Coffee,20,71,0.857143,0.750000
Coffee,20,85,0.714286,0.714286
Coffee,25,42,0.821429,0.714286
Coffee,25,57,0.821429,0.750000
Coffee,25,71,0.714286,0.571429
Coffee,25,85,0.714286,0.714286
Coffee,30,42,0.821429,0.642857
Coffee,30,57,0.821429,0.785714
Coffee,30,71,0.714286,0.678571
Coffee,30,85,0.642857,0.607143
DistalPhalanxOutlineCorrect,20,12,0.825000,0.724638
DistalPhalanxOutlineCorrect,20,16,0.815000,0.717391
DistalPhalanxOutlineCorrect,20,20,0.800000,0.699275
DistalPhalanxOutlineCorrect,20,24,0.783333,0.681159
DistalPhalanxOutlineCorrect,25,12,0.843333,0.764493
DistalPhalanxOutlineCorrect,25,16,0.825000,0.702899
DistalPhalanxOutlineCorrect,25,20,0.788333,0.692029
DistalPhalanxOutlineCorrect,25,24,0.755000,0.666667
DistalPhalanxOutlineCorrect,30,12,0.820000,0.721014
DistalPhalanxOutlineCorrect,30,16,0.828333,0.728261
DistalPhalanxOutlineCorrect,30,20,0.761667,0.673913
DistalPhalanxOutlineCorrect,30,24,0.780000,0.706522
dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,20,76,0.950000,0.650000
BeetleFly,20,102,1.000000,0.600000
BeetleFly,20,128,1.000000,0.550000
BeetleFly,20,153,1.000000,0.600000
BeetleFly,25,76,0.950000,0.600000
BeetleFly,25,102,1.000000,0.650000
BeetleFly,25,128,1.000000,0.450000
BeetleFly,25,153,1.000000,0.550000
BeetleFly,30,76,1.000000,0.750000
BeetleFly,30,102,1.000000,0.700000
BeetleFly,30,128,1.000000,0.850000
BeetleFly,30,153,1.000000,0.650000
Coffee,20,42,0.714286,0.571429
Coffee,20,57,0.607143,0.678571
Coffee,20,71,0.535714,0.500000
Coffee,20,85,0.642857,0.714286
Coffee,25,42,0.607143,0.535714
Coffee,25,57,0.535714,0.500000
Coffee,25,71,0.928571,0.750000
Coffee,25,85,0.571429,0.464286
Coffee,30,42,0.714286,0.571429
Coffee,30,57,0.535714,0.500000
Coffee,30,71,0.785714,0.714286
Coffee,30,85,0.714286,0.642857
DistalPhalanxOutlineCorrect,20,12,0.786667,0.728261
DistalPhalanxOutlineCorrect,20,16,0.756667,0.681159
DistalPhalanxOutlineCorrect,20,20,0.721667,0.677536
DistalPhalanxOutlineCorrect,20,24,0.661667,0.615942
DistalPhalanxOutlineCorrect,25,12,0.808333,0.753623
DistalPhalanxOutlineCorrect,25,16,0.781667,0.659420
DistalPhalanxOutlineCorrect,25,20,0.711667,0.637681
DistalPhalanxOutlineCorrect,25,24,0.658333,0.615942
DistalPhalanxOutlineCorrect,30,12,0.788333,0.695652
DistalPhalanxOutlineCorrect,30,16,0.790000,0.710145
DistalPhalanxOutlineCorrect,30,20,0.731667,0.655797
DistalPhalanxOutlineCorrect,30,24,0.660000,0.623188
