dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,20,76,0.850000,0.850000
BeetleFly,20,102,1.000000,0.900000
BeetleFly,20,128,0.850000,0.900000
BeetleFly,20,153,0.900000,0.950000
BeetleFly,25,76,1.000000,0.850000
BeetleFly,25,102,0.900000,0.950000
BeetleFly,25,128,0.950000,0.900000
BeetleFly,25,153,0.850000,0.950000
BeetleFly,30,76,1.000000,1.000000
BeetleFly,30,102,0.900000,1.000000
BeetleFly,30,128,1.000000,0.950000
BeetleFly,30,153,0.900000,0.850000
Coffee,20,42,0.928571,0.964286
Coffee,20,57,0.964286,1.000000
Coffee,20,71,0.857143,0.964286
Coffee,20,85,0.857143,0.892857
Coffee,25,42,0.821429,0.964286
Coffee,25,57,1.000000,1.000000
Coffee,25,71,0.928571,0.964286
Coffee,25,85,1.000000,1.000000
Coffee,30,42,0.964286,0.964286
Coffee,30,57,0.928571,0.964286
Coffee,30,71,0.892857,0.964286
Coffee,30,85,1.000000,0.964286
DistalPhalanxOutlineCorrect,20,12,0.858333,0.778986
DistalPhalanxOutlineCorrect,20,16,0.833333,0.797101
DistalPhalanxOutlineCorrect,20,20,0.820000,0.771739
DistalPhalanxOutlineCorrect,20,24,0.815000,0.750000
DistalPhalanxOutlineCorrect,25,12,0.838333,0.778986
DistalPhalanxOutlineCorrect,25,16,0.841667,0.797101
DistalPhalanxOutlineCorrect,25,20,0.835000,0.775362
DistalPhalanxOutlineCorrect,25,24,0.818333,0.760870
DistalPhalanxOutlineCorrect,30,12,0.831667,0.789855
DistalPhalanxOutlineCorrect,30,16,0.856667,0.797101
DistalPhalanxOutlineCorrect,30,20,0.813333,0.764493
DistalPhalanxOutlineCorrect,30,24,0.816667,0.800725
Earthquakes,20,76,0.816770,0.748201
Earthquakes,20,102,0.795031,0.748201
Earthquakes,20,128,0.763975,0.748201
Earthquakes,20,153,0.748447,0.748201
Earthquakes,25,76,0.807453,0.748201
Earthquakes,25,102,0.819876,0.748201
Earthquakes,25,128,0.819876,0.748201
Earthquakes,25,153,0.748447,0.748201
Earthquakes,30,76,0.819876,0.748201
Earthquakes,30,102,0.813665,0.748201
Earthquakes,30,128,0.760870,0.748201
Earthquakes,30,153,0.819876,0.748201
ECG200,20,14,0.590000,0.640000
ECG200,20,19,0.580000,0.640000
ECG200,20,24,0.610000,0.640000
ECG200,20,28,0.600000,0.640000
ECG200,25,14,0.570000,0.640000
ECG200,25,19,0.600000,0.640000
ECG200,25,24,0.590000,0.640000
ECG200,25,28,0.590000,0.640000
ECG200,30,14,0.550000,0.640000
ECG200,30,19,0.590000,0.640000
ECG200,30,24,0.610000,0.640000
ECG200,30,28,0.580000,0.640000
ECGFiveDays,20,20,0.913043,0.753775
ECGFiveDays,20,27,0.913043,0.889663
ECGFiveDays,20,34,0.956522,0.927991
ECGFiveDays,20,40,0.869565,0.912892
ECGFiveDays,25,20,1.000000,0.818815
ECGFiveDays,25,27,1.000000,0.897793
ECGFiveDays,25,34,0.956522,0.909408
ECGFiveDays,25,40,1.000000,0.939605
ECGFiveDays,30,20,0.869565,0.747967
ECGFiveDays,30,27,0.956522,0.872242
ECGFiveDays,20,20,0.913043,0.844367
ECGFiveDays,20,27,0.956522,0.894309
ECGFiveDays,20,34,0.956522,0.903600
ECGFiveDays,20,40,0.956522,0.904762
ECGFiveDays,25,20,1.000000,0.835075
ECGFiveDays,25,27,0.913043,0.897793
ECGFiveDays,25,34,0.913043,0.925668
ECGFiveDays,25,40,0.913043,0.894309
ECGFiveDays,30,20,1.000000,0.871080
ECGFiveDays,30,27,1.000000,0.909408
ECGFiveDays,30,34,0.956522,0.912892
