dataset,shapelet_num,shapelet_len,train_acc,test_acc
ArrowHead,20,37,0.888889,0.748571
ArrowHead,20,50,0.777778,0.725714
ArrowHead,20,62,0.833333,0.674286
ArrowHead,20,75,0.805556,0.685714
ArrowHead,25,37,0.888889,0.720000
ArrowHead,25,50,0.833333,0.725714
ArrowHead,25,62,0.722222,0.680000
ArrowHead,25,75,0.833333,0.708571
ArrowHead,30,37,0.861111,0.685714
ArrowHead,30,50,0.750000,0.708571
ArrowHead,30,62,0.777778,0.697143
ArrowHead,30,75,0.777778,0.691429
Beef,20,70,0.566667,0.600000
Beef,20,94,0.500000,0.633333
Beef,20,117,0.533333,0.566667
Beef,20,141,0.366667,0.533333
Beef,25,70,0.533333,0.633333
Beef,25,94,0.600000,0.633333
Beef,25,117,0.533333,0.600000
Beef,25,141,0.400000,0.500000
Beef,30,70,0.633333,0.566667
Beef,30,94,0.400000,0.566667
Beef,30,117,0.533333,0.566667
Beef,30,141,0.500000,0.533333
CBF,20,19,0.900000,0.853333
CBF,20,25,1.000000,0.848889
CBF,20,32,0.933333,0.860000
CBF,20,38,0.966667,0.865556
CBF,25,19,1.000000,0.871111
CBF,25,25,0.966667,0.874444
CBF,25,32,1.000000,0.881111
CBF,25,38,0.966667,0.877778
CBF,30,19,1.000000,0.873333
CBF,30,25,0.866667,0.875556
CBF,30,32,1.000000,0.912222
CBF,30,38,0.933333,0.896667
ChlorineConcentration,20,24,0.563169,0.534115
ChlorineConcentration,20,33,0.511777,0.532552
ChlorineConcentration,20,41,0.548180,0.532552
ChlorineConcentration,20,49,0.531049,0.532552
ChlorineConcentration,25,24,0.505353,0.532552
ChlorineConcentration,25,33,0.516060,0.532552
ChlorineConcentration,25,41,0.539615,0.532552
ChlorineConcentration,25,49,0.524625,0.532552
ChlorineConcentration,30,24,0.496788,0.532552
ChlorineConcentration,30,33,0.554604,0.532552
ChlorineConcentration,30,41,0.522484,0.532552
ChlorineConcentration,30,49,0.513919,0.532552
CricketZ,20,45,0.387179,0.341026
CricketZ,20,60,0.310256,0.287179
CricketZ,20,75,0.341026,0.289744
CricketZ,20,90,0.279487,0.253846
CricketZ,25,45,0.358974,0.341026
CricketZ,25,60,0.325641,0.271795
CricketZ,25,75,0.294872,0.269231
CricketZ,25,90,0.269231,0.274359
CricketZ,30,45,0.376923,0.343590
CricketZ,30,60,0.323077,0.323077
CricketZ,30,75,0.315385,0.302564
CricketZ,30,90,0.302564,0.251282
DiatomSizeReduction,20,51,1.000000,0.941176
DiatomSizeReduction,20,69,0.937500,0.846405
DiatomSizeReduction,20,86,0.812500,0.699346
DiatomSizeReduction,20,103,0.750000,0.813725
DiatomSizeReduction,25,51,1.000000,0.901961
DiatomSizeReduction,25,69,0.875000,0.820261
DiatomSizeReduction,25,86,0.937500,0.921569
DiatomSizeReduction,25,103,0.875000,0.702614
DiatomSizeReduction,30,51,0.937500,0.862745
DiatomSizeReduction,30,69,0.875000,0.846405
DiatomSizeReduction,30,86,0.937500,0.931373
DiatomSizeReduction,30,103,0.937500,0.846405
ECG5000,20,21,0.926000,0.919778
ECG5000,20,28,0.930000,0.920667
ECG5000,20,35,0.932000,0.922667
ECG5000,20,42,0.930000,0.917111
ECG5000,25,21,0.932000,0.920000
ECG5000,25,28,0.928000,0.918889
ECG5000,25,35,0.930000,0.920667
ECG5000,25,42,0.928000,0.921111
ECG5000,30,21,0.930000,0.924000
ECG5000,30,28,0.932000,0.923111
ECG5000,30,35,0.924000,0.922000
ECG5000,30,42,0.934000,0.920889
ElectricDevices,20,14,0.641833,0.548697
ElectricDevices,20,19,0.598700,0.531708
ElectricDevices,20,24,0.567892,0.506160
ElectricDevices,20,28,0.550190,0.498898
ElectricDevices,25,14,0.642281,0.538581
ElectricDevices,25,19,0.617746,0.521203
ElectricDevices,25,24,0.601501,0.518350
ElectricDevices,25,28,0.555792,0.505123
ElectricDevices,30,14,0.649563,0.545973
ElectricDevices,30,19,0.644970,0.533264
ElectricDevices,30,24,0.627717,0.533394
ElectricDevices,30,28,0.612256,0.520296
FaceAll,20,19,0.457143,0.408284
FaceAll,20,26,0.385714,0.369822
FaceAll,20,32,0.414286,0.408876
FaceAll,20,39,0.407143,0.411243
FaceAll,25,19,0.450000,0.358580
FaceAll,25,26,0.432143,0.400592
FaceAll,25,32,0.396429,0.398817
FaceAll,25,39,0.392857,0.410059
FaceAll,30,19,0.501786,0.408284
FaceAll,30,26,0.487500,0.430178
FaceAll,30,32,0.455357,0.423669
FaceAll,30,39,0.423214,0.400000
FaceFour,20,52,0.875000,0.761364
FaceFour,20,70,0.875000,0.772727
FaceFour,20,87,0.833333,0.659091
FaceFour,20,105,0.833333,0.704545
FaceFour,25,52,0.916667,0.784091
FaceFour,25,70,0.916667,0.761364
FaceFour,25,87,0.833333,0.636364
FaceFour,25,105,0.875000,0.670455
FaceFour,30,52,0.958333,0.784091
FaceFour,30,70,0.875000,0.806818
FaceFour,30,87,0.833333,0.659091
FaceFour,30,105,0.875000,0.772727
FacesUCR,20,19,0.440000,0.296098
FacesUCR,20,26,0.350000,0.278049
FacesUCR,20,32,0.395000,0.300976
FacesUCR,20,39,0.390000,0.298049
FacesUCR,25,19,0.395000,0.306829
FacesUCR,25,26,0.420000,0.308293
FacesUCR,25,32,0.405000,0.306829
FacesUCR,25,39,0.385000,0.309268
FacesUCR,30,19,0.410000,0.318537
FacesUCR,30,26,0.475000,0.340000
FacesUCR,30,32,0.365000,0.297073
FacesUCR,30,39,0.385000,0.326829
Haptics,20,163,0.425806,0.379870
Haptics,20,218,0.458065,0.376623
Haptics,20,273,0.490323,0.396104
Haptics,20,327,0.490323,0.412338
Haptics,25,163,0.580645,0.409091
Haptics,25,218,0.496774,0.370130
Haptics,25,273,0.503226,0.409091
Haptics,25,327,0.509677,0.409091
Haptics,30,163,0.535484,0.412338
Haptics,30,218,0.522581,0.412338
Haptics,30,273,0.522581,0.399351
Haptics,30,327,0.516129,0.412338
InlineSkate,20,282,0.440000,0.283636
InlineSkate,20,376,0.470000,0.303636
InlineSkate,20,470,0.470000,0.280000
InlineSkate,20,564,0.430000,0.278182
InlineSkate,25,282,0.450000,0.276364
InlineSkate,25,376,0.440000,0.294545
InlineSkate,25,470,0.480000,0.265455
InlineSkate,25,564,0.370000,0.267273
InlineSkate,30,282,0.580000,0.292727
InlineSkate,30,376,0.530000,0.307273
InlineSkate,30,470,0.510000,0.300000
InlineSkate,30,564,0.460000,0.287273
InsectWingbeatSound,20,38,0.377273,0.317677
InsectWingbeatSound,20,51,0.345455,0.333838
InsectWingbeatSound,20,64,0.427273,0.369697
InsectWingbeatSound,20,76,0.368182,0.353030
InsectWingbeatSound,25,38,0.372727,0.320202
InsectWingbeatSound,25,51,0.431818,0.357576
InsectWingbeatSound,25,64,0.381818,0.364646
InsectWingbeatSound,25,76,0.440909,0.360606
InsectWingbeatSound,30,38,0.377273,0.336364
InsectWingbeatSound,30,51,0.427273,0.374747
InsectWingbeatSound,30,64,0.440909,0.377778
InsectWingbeatSound,30,76,0.445455,0.375253
LargeKitchenAppliances,20,108,0.629333,0.645333
LargeKitchenAppliances,20,144,0.621333,0.605333
LargeKitchenAppliances,20,180,0.608000,0.632000
LargeKitchenAppliances,20,216,0.568000,0.608000
LargeKitchenAppliances,25,108,0.672000,0.677333
LargeKitchenAppliances,25,144,0.634667,0.653333
LargeKitchenAppliances,25,180,0.626667,0.632000
LargeKitchenAppliances,25,216,0.597333,0.613333
LargeKitchenAppliances,30,144,0.650667,0.658667
LargeKitchenAppliances,30,180,0.621333,0.632000
Mallat,20,153,0.745455,0.586780
Mallat,20,204,0.800000,0.661407
Mallat,20,256,0.800000,0.627719
Mallat,20,307,0.781818,0.639232
Mallat,25,153,0.727273,0.561620
Mallat,25,204,0.836364,0.714286
Mallat,25,256,0.781818,0.656716
Mallat,25,307,0.818182,0.650320
Mallat,30,153,0.836364,0.646482
Mallat,30,204,0.818182,0.675906
Mallat,30,256,0.818182,0.681450
Mallat,30,307,0.836364,0.671215
Meat,20,67,0.900000,0.883333
Meat,20,89,0.900000,0.883333
Meat,20,112,0.900000,0.866667
Meat,20,134,0.850000,0.900000
Meat,25,67,0.866667,0.883333
Meat,25,112,0.866667,0.883333
Meat,25,134,0.866667,0.916667
Meat,30,67,0.966667,0.966667
Meat,30,89,0.933333,0.883333
Meat,30,112,0.900000,0.966667
Meat,30,134,0.900000,0.933333
NonInvasiveFetalECGThorax1,20,112,0.341111,0.326209
NonInvasiveFetalECGThorax1,20,150,0.318333,0.286514
NonInvasiveFetalECGThorax1,20,187,0.277222,0.261578
NonInvasiveFetalECGThorax1,20,225,0.267778,0.248855
NonInvasiveFetalECGThorax1,25,112,0.331667,0.307379
NonInvasiveFetalECGThorax1,25,150,0.312222,0.282443
NonInvasiveFetalECGThorax1,25,187,0.290000,0.270229
NonInvasiveFetalECGThorax1,25,225,0.283333,0.255980
NonInvasiveFetalECGThorax1,30,112,0.353333,0.336896
