dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,20,76,0.900000,0.700000
BeetleFly,20,102,0.900000,0.950000
BeetleFly,20,128,0.900000,0.850000
BeetleFly,20,153,0.800000,0.750000
BeetleFly,25,76,0.900000,0.700000
BeetleFly,25,102,0.700000,0.850000
BeetleFly,25,128,0.800000,0.900000
BeetleFly,25,153,0.850000,0.900000
BeetleFly,30,76,0.700000,0.950000
BeetleFly,30,102,0.950000,0.800000
BeetleFly,30,128,0.850000,0.950000
BeetleFly,30,153,0.650000,0.750000
Coffee,20,42,0.892857,1.000000
Coffee,20,57,0.892857,1.000000
Coffee,20,71,0.964286,1.000000
Coffee,20,85,0.857143,0.964286
Coffee,25,42,0.892857,1.000000
Coffee,25,57,0.964286,1.000000
Coffee,25,71,0.964286,0.928571
Coffee,25,85,0.928571,1.000000
Coffee,30,42,0.964286,1.000000
Coffee,30,57,0.892857,1.000000
Coffee,30,71,0.892857,1.000000
Coffee,30,85,0.928571,1.000000
DistalPhalanxOutlineCorrect,20,12,0.956667,0.764493
DistalPhalanxOutlineCorrect,20,16,0.881667,0.760870
DistalPhalanxOutlineCorrect,20,20,0.966667,0.746377
DistalPhalanxOutlineCorrect,20,24,0.956667,0.760870
DistalPhalanxOutlineCorrect,25,12,0.698333,0.760870
DistalPhalanxOutlineCorrect,25,16,0.945000,0.742754
DistalPhalanxOutlineCorrect,25,20,0.968333,0.735507
DistalPhalanxOutlineCorrect,25,24,0.931667,0.746377
DistalPhalanxOutlineCorrect,30,12,0.945000,0.786232
DistalPhalanxOutlineCorrect,30,16,0.971667,0.778986
DistalPhalanxOutlineCorrect,30,20,0.963333,0.760870
DistalPhalanxOutlineCorrect,30,24,0.961667,0.746377
Earthquakes,20,76,0.810559,0.748201
Earthquakes,20,102,0.891304,0.776978
Earthquakes,20,128,0.916149,0.733813
Earthquakes,20,153,0.822981,0.755396
Earthquakes,25,76,0.940994,0.784173
Earthquakes,25,102,0.822981,0.748201
Earthquakes,25,128,0.857143,0.741007
Earthquakes,25,153,0.813665,0.748201
Earthquakes,30,76,0.819876,0.748201
Earthquakes,30,102,0.835404,0.762590
Earthquakes,30,128,0.826087,0.748201
Earthquakes,30,153,0.822981,0.748201
ECG200,20,14,0.890000,0.810000
ECG200,20,19,0.930000,0.850000
ECG200,20,24,0.960000,0.880000
ECG200,20,28,0.930000,0.900000
ECG200,25,14,0.850000,0.850000
ECG200,25,19,0.930000,0.840000
ECG200,25,24,0.810000,0.860000
ECG200,25,28,0.920000,0.900000
ECG200,30,14,0.940000,0.860000
ECG200,30,19,0.920000,0.860000
ECG200,30,24,0.890000,0.880000
ECG200,30,28,0.920000,0.910000
ECGFiveDays,20,20,0.826087,0.718931
ECGFiveDays,20,27,0.869565,0.835075
ECGFiveDays,20,34,0.869565,0.838560
ECGFiveDays,20,40,0.913043,0.946574
ECGFiveDays,25,20,0.913043,0.813008
ECGFiveDays,25,27,0.913043,0.917538
ECGFiveDays,25,34,1.000000,0.959350
ECGFiveDays,25,40,1.000000,0.976771
ECGFiveDays,30,20,0.782609,0.735192
ECGFiveDays,30,27,0.913043,0.914053
ECGFiveDays,30,40,0.869565,0.868757
FordA,20,75,0.748959,0.654545
Ham,20,64,0.908257,0.600000
Ham,20,86,0.944954,0.714286
Ham,20,107,0.752294,0.619048
Ham,20,129,0.926606,0.695238
Ham,25,64,0.963303,0.685714
Ham,25,86,0.944954,0.628571
Ham,25,107,0.926606,0.647619
Ham,25,129,0.844037,0.733333
Ham,30,64,0.972477,0.704762
Ham,30,86,0.954128,0.685714
Ham,30,107,0.954128,0.628571
Ham,30,129,0.963303,0.695238
ShapeletSim,20,75,1.000000,0.961111
ShapeletSim,20,100,1.000000,0.938889
ShapeletSim,20,125,0.950000,0.888889
ShapeletSim,20,150,0.900000,0.872222
ShapeletSim,25,75,1.000000,0.955556
ShapeletSim,25,100,0.950000,0.955556
ShapeletSim,25,125,0.850000,0.872222
ShapeletSim,25,150,0.900000,0.838889
ShapeletSim,30,75,0.900000,0.927778
ShapeletSim,30,100,0.950000,0.916667
ShapeletSim,30,125,0.950000,0.866667
ShapeletSim,30,150,0.900000,0.766667
SonyAIBORobotSurface1,20,10,0.850000,0.652246
SonyAIBORobotSurface1,20,14,0.650000,0.695507
SonyAIBORobotSurface1,20,17,0.850000,0.559068
SonyAIBORobotSurface1,20,21,0.950000,0.672213
SonyAIBORobotSurface1,25,10,0.900000,0.648918
SonyAIBORobotSurface1,25,14,0.900000,0.670549
SonyAIBORobotSurface1,25,17,1.000000,0.788686
SonyAIBORobotSurface1,25,21,0.850000,0.627288
SonyAIBORobotSurface1,30,10,0.900000,0.703827
SonyAIBORobotSurface1,30,14,0.950000,0.783694
SonyAIBORobotSurface1,30,17,0.950000,0.673877
SonyAIBORobotSurface1,30,21,0.950000,0.743760
SonyAIBORobotSurface2,20,9,1.000000,0.867786
SonyAIBORobotSurface2,20,13,0.925926,0.888772
SonyAIBORobotSurface2,20,16,0.962963,0.873033
SonyAIBORobotSurface2,20,19,0.962963,0.859391
SonyAIBORobotSurface2,25,9,1.000000,0.883526
SonyAIBORobotSurface2,25,13,1.000000,0.855194
SonyAIBORobotSurface2,25,16,0.962963,0.886674
SonyAIBORobotSurface2,25,19,0.962963,0.857293
SonyAIBORobotSurface2,30,9,1.000000,0.929696
SonyAIBORobotSurface2,30,13,0.925926,0.905561
SonyAIBORobotSurface2,30,16,0.925926,0.849948
SonyAIBORobotSurface2,30,19,0.925926,0.825813
Strawberry,20,35,0.982055,0.964865
Strawberry,20,47,0.978793,0.948649
Strawberry,20,58,0.975530,0.948649
Strawberry,20,70,0.982055,0.954054
Strawberry,25,35,0.977162,0.959459
Strawberry,25,47,0.967374,0.962162
Strawberry,25,58,0.983687,0.964865
Strawberry,25,70,0.978793,0.954054
Strawberry,30,35,0.978793,0.959459
Strawberry,30,47,0.983687,0.956757
Strawberry,30,58,0.980424,0.967568
Strawberry,30,70,0.985318,0.956757
ToeSegmentation1,20,41,0.975000,0.903509
ToeSegmentation1,20,55,0.975000,0.899123
ToeSegmentation1,20,69,0.975000,0.890351
ToeSegmentation1,20,83,0.950000,0.890351
ToeSegmentation1,25,41,1.000000,0.912281
ToeSegmentation1,25,55,0.925000,0.907895
ToeSegmentation1,25,69,1.000000,0.921053
ToeSegmentation1,25,83,0.925000,0.890351
ToeSegmentation1,30,41,1.000000,0.934211
ToeSegmentation1,30,55,0.975000,0.885965
ToeSegmentation1,30,69,0.950000,0.925439
ToeSegmentation1,30,83,0.950000,0.947368
TwoLeadECG,20,12,0.869565,0.835821
TwoLeadECG,20,16,0.826087,0.834943
TwoLeadECG,20,20,0.913043,0.819140
TwoLeadECG,20,24,0.956522,0.920105
TwoLeadECG,25,12,0.869565,0.841089
TwoLeadECG,25,16,0.913043,0.826163
TwoLeadECG,25,20,0.826087,0.857770
TwoLeadECG,25,24,0.913043,0.866550
TwoLeadECG,30,12,0.869565,0.739245
TwoLeadECG,30,16,0.869565,0.834065
TwoLeadECG,30,20,0.956522,0.891133
TwoLeadECG,30,24,0.913043,0.831431
Wafer,20,22,0.996000,0.986859
Wafer,20,30,0.997000,0.987508
Wafer,20,38,0.996000,0.992537
Wafer,20,45,0.998000,0.991726
Wafer,25,22,0.996000,0.983128
Wafer,25,30,0.994000,0.988319
Wafer,25,38,0.997000,0.990266
Wafer,25,45,0.998000,0.991564
Wafer,30,22,0.996000,0.986372
Wafer,30,30,0.996000,0.989293
Wafer,30,38,0.997000,0.992213
Wafer,30,45,0.995000,0.994322
WormsTwoClass,20,135,0.817680,0.753247
WormsTwoClass,20,180,0.911602,0.766234
WormsTwoClass,20,225,0.906077,0.779221
WormsTwoClass,20,270,0.994475,0.779221
WormsTwoClass,25,135,0.895028,0.766234
WormsTwoClass,25,180,0.966851,0.818182
WormsTwoClass,25,225,0.988950,0.792208
WormsTwoClass,25,270,0.972376,0.727273
WormsTwoClass,30,135,0.917127,0.766234
WormsTwoClass,30,180,0.988950,0.831169
WormsTwoClass,30,225,0.977901,0.740260
WormsTwoClass,30,270,0.972376,0.805195
Yoga,20,63,0.986667,0.816667
Yoga,20,85,0.976667,0.833333
Yoga,20,106,0.953333,0.820333
Yoga,20,127,0.963333,0.823000
Yoga,25,63,0.983333,0.847667
Yoga,25,85,0.983333,0.835333
Yoga,25,106,0.960000,0.823000
Yoga,25,127,0.966667,0.830333
Yoga,30,63,0.990000,0.849667
Yoga,30,85,0.986667,0.850667
Yoga,30,106,0.980000,0.844333
Yoga,30,127,0.976667,0.832000
