dataset,shapelet_num,shapelet_len,train_acc,test_acc
ArrowHead,40,37,dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,40,76,0.900000,0.950000
BeetleFly,40,102,0.900000,0.950000
BeetleFly,40,128,0.850000,0.800000
BeetleFly,40,153,0.900000,0.800000
BeetleFly,50,76,0.900000,0.900000
BeetleFly,50,102,0.850000,0.950000
BeetleFly,50,128,0.800000,0.850000
BeetleFly,50,153,0.850000,0.650000
BeetleFly,60,76,0.900000,0.950000
BeetleFly,60,102,0.850000,0.900000
BeetleFly,60,128,0.850000,0.950000
BeetleFly,60,153,0.800000,0.800000
Coffee,40,42,1.000000,1.000000
Coffee,40,57,0.964286,0.964286
Coffee,40,71,1.000000,1.000000
Coffee,40,85,0.928571,1.000000
Coffee,50,42,0.928571,0.964286
Coffee,50,57,0.928571,1.000000
Coffee,50,71,0.964286,1.000000
Coffee,50,85,0.964286,1.000000
Coffee,60,42,0.892857,1.000000
Coffee,60,57,0.928571,1.000000
Coffee,60,71,0.964286,1.000000
Coffee,60,85,0.964286,1.000000
DistalPhalanxOutlineCorrect,40,12,0.966667,0.786232
DistalPhalanxOutlineCorrect,40,16,0.946667,0.778986
DistalPhalanxOutlineCorrect,40,20,0.971667,0.768116
DistalPhalanxOutlineCorrect,40,24,0.880000,0.757246
DistalPhalanxOutlineCorrect,50,12,0.955000,0.771739
DistalPhalanxOutlineCorrect,50,16,0.938333,0.757246
DistalPhalanxOutlineCorrect,50,20,0.918333,0.764493
DistalPhalanxOutlineCorrect,50,24,0.936667,0.757246
DistalPhalanxOutlineCorrect,60,12,0.958333,0.775362
DistalPhalanxOutlineCorrect,60,16,0.958333,0.771739
DistalPhalanxOutlineCorrect,60,20,0.866667,0.760870
DistalPhalanxOutlineCorrect,60,24,0.936667,0.782609
Earthquakes,40,76,0.816770,0.748201
Earthquakes,40,102,0.779503,0.748201
Earthquakes,40,128,0.838509,0.733813
Earthquakes,40,153,0.822981,0.755396
Earthquakes,50,76,0.816770,0.748201
Earthquakes,50,102,0.810559,0.748201
Earthquakes,50,128,0.813665,0.748201
Earthquakes,50,153,0.819876,0.748201
Earthquakes,60,76,0.891304,0.755396
Earthquakes,60,102,0.819876,0.748201
Earthquakes,60,128,0.745342,0.748201
Earthquakes,60,153,0.829193,0.748201
