dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,0.850000,1.000000
Coffee,0.857143,0.964286
DistalPhalanxOutlineCorrect,0.843333,0.731884
Earthquakes,0.798137,0.748201
ECG200,0.660000,0.640000
ECGFiveDays,0.869565,0.850174
Ham,0.770642,0.666667
ShapeletSim,0.900000,0.877778
SonyAIBORobotSurface1,0.950000,0.682196
SonyAIBORobotSurface2,0.962963,0.755509
Strawberry,0.866232,0.835135
ToeSegmentation1,0.925000,0.807018
TwoLeadECG,0.956522,0.785777
Wafer,0.903000,0.892116
WormsTwoClass,0.690608,0.766234
Yoga,0.736667,0.653333
FordA,0.677034,0.656061
