dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
BeetleFly,40,0.150000,0.200000,0.900000,0.950000
BeetleFly,40,0.150000,0.500000,0.750000,0.900000
BeetleFly,40,0.150000,0.700000,0.800000,0.750000
BeetleFly,40,0.150000,1.000000,0.850000,0.850000
BeetleFly,40,0.200000,0.200000,0.900000,0.950000
BeetleFly,40,0.200000,0.500000,0.750000,0.700000
BeetleFly,40,0.200000,0.700000,0.750000,0.900000
BeetleFly,40,0.200000,1.000000,0.950000,0.750000
BeetleFly,40,0.250000,0.200000,0.800000,0.750000
BeetleFly,40,0.250000,0.500000,0.900000,0.950000
BeetleFly,40,0.250000,0.700000,0.850000,0.950000
BeetleFly,40,0.250000,1.000000,0.750000,0.850000
BeetleFly,40,0.300000,0.200000,0.750000,0.900000
BeetleFly,40,0.300000,0.500000,0.900000,0.800000
BeetleFly,40,0.300000,0.700000,0.750000,0.850000
BeetleFly,40,0.300000,1.000000,0.850000,0.950000
BeetleFly,50,0.150000,0.200000,0.800000,0.850000
BeetleFly,50,0.150000,0.500000,0.950000,0.900000
BeetleFly,50,0.150000,0.700000,0.950000,0.900000
BeetleFly,50,0.150000,1.000000,0.900000,0.950000
BeetleFly,50,0.200000,0.200000,0.650000,0.900000
BeetleFly,50,0.200000,0.500000,0.950000,0.900000
BeetleFly,50,0.200000,0.700000,0.850000,0.850000
BeetleFly,50,0.200000,1.000000,0.800000,0.800000
BeetleFly,50,0.250000,0.200000,0.800000,0.900000
BeetleFly,50,0.250000,0.500000,0.750000,0.600000
BeetleFly,50,0.250000,0.700000,0.800000,0.950000
BeetleFly,50,0.250000,1.000000,0.850000,0.900000
BeetleFly,50,0.300000,0.200000,0.800000,0.850000
BeetleFly,50,0.300000,0.500000,0.900000,0.750000
BeetleFly,50,0.300000,0.700000,0.750000,0.800000
BeetleFly,50,0.300000,1.000000,0.850000,0.850000
BeetleFly,60,0.150000,0.200000,0.850000,0.900000
BeetleFly,60,0.150000,0.500000,0.950000,0.900000
BeetleFly,60,0.150000,0.700000,0.800000,0.950000
BeetleFly,60,0.150000,1.000000,0.900000,0.950000
BeetleFly,60,0.200000,0.200000,0.950000,1.000000
BeetleFly,60,0.200000,0.500000,0.900000,0.800000
BeetleFly,60,0.200000,0.700000,0.800000,0.950000
BeetleFly,60,0.200000,1.000000,0.850000,0.900000
BeetleFly,60,0.250000,0.200000,0.850000,0.800000
BeetleFly,60,0.250000,0.500000,0.900000,0.900000
BeetleFly,60,0.250000,0.700000,0.900000,0.800000
BeetleFly,60,0.250000,1.000000,0.900000,1.000000
BeetleFly,60,0.300000,0.200000,0.800000,0.800000
BeetleFly,60,0.300000,0.500000,0.850000,0.850000
BeetleFly,60,0.300000,0.700000,0.800000,0.900000
BeetleFly,60,0.300000,1.000000,0.900000,0.850000
Coffee,40,42,29,0.928571,1.000000
Coffee,40,42,42,1.000000,0.964286
Coffee,40,71,14,0.928571,1.000000
Coffee,40,71,35,0.928571,1.000000
Coffee,40,71,49,0.964286,1.000000
Coffee,40,71,71,0.928571,1.000000
Coffee,40,100,20,0.928571,1.000000
Coffee,40,100,50,0.928571,1.000000
Coffee,40,100,70,0.857143,1.000000
Coffee,40,100,100,0.964286,1.000000
Coffee,50,42,8,0.964286,1.000000
Coffee,50,42,21,0.892857,1.000000
Coffee,50,42,29,0.964286,1.000000
Coffee,50,42,42,0.892857,1.000000
